
央卫iptv6,#genre#❤❤❤
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
重庆卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001096&livemode=1&stbId=3$易视腾
东方卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265018&livemode=1&stbId=3$易视腾
东南卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265033&livemode=1&stbId=3$易视腾
甘肃卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000011000031121&livemode=1&stbId=3$易视腾
广东卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=3$易视腾

广西卫视,https://vip.taoiptv.cn/source/itv.php?id=广西卫视.m3u8&sign=06zcwd
广西卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000011000031118&livemode=1&stbId=3$易视腾
贵州卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000004000025843&livemode=1&stbId=3$易视腾
海南卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=3$易视腾
河北卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000006000040016&livemode=1&stbId=3$易视腾

河南卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000011000031119&livemode=1&stbId=3$易视腾

黑龙江卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001925&livemode=1&stbId=3$易视腾

湖北卫视,https://vip.taoiptv.cn/source/gzyx.php?id=21a70fb0fad52b17d49c5554f513d2ca.m3u8&sign=06zcwd
湖北卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024621&livemode=1&stbId=3$易视腾

湖南卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265024&livemode=1&stbId=3$易视腾

吉林卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000011000031117&livemode=1&stbId=3$易视腾

江苏卫视,https://vip.taoiptv.cn/source/gzyx.php?id=ced2b0d62dabbd8651b18f4323c18c24.m3u8&sign=06zcwd
江苏卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265030&livemode=1&stbId=3$易视腾

江西卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265032&livemode=1&stbId=3$易视腾

辽宁卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265022&livemode=1&stbId=3$易视腾

内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880


青海卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000002000013359&livemode=1&stbId=3$易视腾
深圳卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265028&livemode=1&stbId=3$易视腾
四川卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000004000006119&livemode=1&stbId=3$易视腾
天津卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265026&livemode=1&stbId=3$易视腾
云南卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000011000031120&livemode=1&stbId=3$易视腾
浙江卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014260&livemode=1&stbId=3$易视腾
四川卫视_ITV,http://www.72444165.xyz:5005/itv/bestzb/5000000004000006119
东方卫视,http://117.114.153.18:8180/TV00000000000000000138@HHZT
安徽卫视,http://117.114.153.18:8180/TV00000000000000000087@HHZT
天津卫视,http://117.114.153.18:8180/TV00000000000000000085@HHZT
湖北卫视,http://117.114.153.18:8180/TV00000000000000000086@HHZT
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
安徽卫视,http://123.166.61.70:8003/hls/55/index.m3u8
安徽卫视,http://202.100.46.58:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://61.163.181.78:9901/tsfile/live/1043_1.m3u8
北京卫视,http://123.166.61.70:8003/hls/56/index.m3u8
北京卫视,http://110.53.52.63:8888/newlive/live/hls/18/live.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0
重庆卫视,http://123.166.61.70:8003/hls/62/index.m3u8

东方卫视,http://61.163.181.78:9901/tsfile/live/1036_1.m3u8
东方卫视,http://119.163.199.98:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0

东南卫视,http://123.166.61.70:8003/hls/53/index.m3u8

甘肃卫视,http://202.100.46.58:9901/tsfile/live/1035_1.m3u8

广东卫视,http://123.166.61.70:8003/hls/21/index.m3u8

广西卫视,http://119.163.199.98:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://110.53.52.63:8888/newlive/live/hls/25/live.m3u8

贵州卫视,http://123.166.61.70:8003/hls/54/index.m3u8
贵州卫视,http://119.163.199.98:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://220.164.192.48:50085/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://202.100.46.58:9901/tsfile/live/1034_1.m3u8

海南卫视,http://123.166.61.70:8003/hls/63/index.m3u8
海南卫视,http://220.164.192.48:50085/tsfile/live/1003_1.m3u8

河北卫视,http://220.164.192.48:50085/tsfile/live/0113_1.m3u8

河南卫视,http://123.166.61.70:8003/hls/52/index.m3u8

黑龙江卫视,http://123.166.61.70:8003/hls/14/index.m3u8


湖南卫视,http://202.100.46.58:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://119.163.199.98:9901/tsfile/live/0017_1.m3u8

吉林卫视,http://119.163.199.98:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://110.53.52.63:8888/newlive/live/hls/34/live.m3u8

江苏卫视,http://110.53.52.63:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://61.163.181.78:9901/tsfile/live/1044_1.m3u8
辽宁卫视,http://123.166.61.70:8003/hls/20/index.m3u8
辽宁卫视,http://61.157.139.15:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://221.213.69.82:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
宁夏卫视,http://219.147.200.9:18080/newlive/live/hls/53/live.m3u8
青海卫视,http://119.163.199.98:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://110.53.52.63:8888/newlive/live/hls/38/live.m3u8
山东卫视,http://119.163.199.98:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://202.100.46.58:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://219.147.200.9:18080/newlive/live/hls/40/live.m3u8
陕西卫视,http://110.53.52.63:8888/newlive/live/hls/40/live.m3u8
陕西卫视,http://222.241.154.37:9901/tsfile/live/23048_1.m3u8?key=tvbox6_com&playlive=1&authid=0
陕西卫视,http://202.100.46.58:9901/tsfile/live/1017_1.m3u8
深圳卫视,http://61.163.181.78:9901/tsfile/live/1041_1.m3u8
深圳卫视,http://123.166.61.70:8003/hls/61/index.m3u8
深圳卫视,http://122.224.232.218:8888/rtp/233.50.201.101:5140
四川卫视,http://219.147.200.9:18080/newlive/live/hls/48/live.m3u8
四川卫视,http://123.166.61.70:8003/hls/24/index.m3u8
天津卫视,http://123.166.61.70:8003/hls/57/index.m3u8
天津卫视,http://202.100.46.58:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://124.128.73.58:9901/tsfile/live/0129_1.m3u8
厦门卫视,http://202.100.46.58:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://119.163.199.98:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://110.53.52.63:8888/newlive/live/hls/26/live.m3u8
浙江卫视,http://219.147.200.9:18080/newlive/live/hls/29/live.m3u8
东方卫视,http://117.114.153.18:8180/TV00000000000000000138@HHZT
安徽卫视,http://117.114.153.18:8180/TV00000000000000000087@HHZT
天津卫视,http://117.114.153.18:8180/TV00000000000000000085@HHZT
湖北卫视,http://117.114.153.18:8180/TV00000000000000000086@HHZT
黑龙江视,http://117.114.153.18:8180/TV00000000000000000084@HHZT

央視,#genre#
CCTV1综合HD,http://beijinglive.online.domybox.com:91/live/CCTV1hd-8M/live.m3u8
CCTV2财经HD,http://beijinglive.online.domybox.com:91/live/CCTV2hd-8M/live.m3u8
CCTV3综艺HD,http://beijinglive.online.domybox.com:91/live/CCTV3hd-8M/live.m3u8
CCTV4中文国际HD,http://beijinglive.online.domybox.com:91/live/CCTV4hd-8M/live.m3u8
CCTV5体育HD,http://beijinglive.online.domybox.com:91/live/CCTV5hd-8M/live.m3u8
CCTV5+体育赛事HD,http://beijinglive.online.domybox.com:91/live/CCTV5+hd-8M/live.m3u8
CCTV6电影HD,http://beijinglive.online.domybox.com:91/live/CCTV6hd-8M/live.m3u8
CCTV7国防军事HD,http://beijinglive.online.domybox.com:91/live/CCTV7hd-8M/live.m3u8
CCTV8电视剧HD,http://beijinglive.online.domybox.com:91/live/CCTV8hd-8M/live.m3u8
CCTV9纪录HD,http://beijinglive.online.domybox.com:91/live/CCTV9hd-8M/live.m3u8
CCTV10科教HD,http://beijinglive.online.domybox.com:91/live/CCTV10hd-8M/live.m3u8
CCTV11戏曲HD,http://beijinglive.online.domybox.com:91/live/CCTV11hd-8M/live.m3u8
CCTV12社会与法HD,http://beijinglive.online.domybox.com:91/live/CCTV12hd-8M/live.m3u8
CCTV13新闻HD,http://beijinglive.online.domybox.com:91/live/CCTV13hd-8M/live.m3u8
CCTV14少儿HD,http://beijinglive.online.domybox.com:91/live/CCTV14hd-8M/live.m3u8
CCTV15音乐HD,http://beijinglive.online.domybox.com:91/live/CCTV15hd-8M/live.m3u8
CCTV16奥林匹克HD,http://beijinglive.online.domybox.com:91/live/CCTV16hd-8M/live.m3u8
CCTV17农业农村HD,http://beijinglive.online.domybox.com:91/live/CCTV17hd-8M/live.m3u8
CETV1中教1台HD,http://beijinglive.online.domybox.com:91/live/CETV1hd-8M/live.m3u8
CETV1中教2台,http://beijinglive.online.domybox.com:91/live/CETV2-1500k/live.m3u8
CETV1中教3台,http://beijinglive.online.domybox.com:91/live/CETV3-1500k/live.m3u8
CETV1中教4台,http://beijinglive.online.domybox.com:91/live/CETV4-1500k/live.m3u8
CGTV,http://beijinglive.online.domybox.com:91/live/CCTVNEWS-1500k/live.m3u8


衛視,#genre#
北京卫视HD,http://beijinglive.online.domybox.com:91/live/BJWShd-8M/live.m3u8
东方卫视HD,http://beijinglive.online.domybox.com:91/live/DFWShd-8M/live.m3u8
天津卫视HD,http://beijinglive.online.domybox.com:91/live/TJWShd-8M/live.m3u8
重庆卫视HD,http://beijinglive.online.domybox.com:91/live/CQWShd-8M/live.m3u8
黑龙江卫视HD,http://beijinglive.online.domybox.com:91/live/HLJWShd-8M/live.m3u8
吉林卫视HD,http://beijinglive.online.domybox.com:91/live/JLWShd-8M/live.m3u8
辽宁卫视HD,http://beijinglive.online.domybox.com:91/live/LNWShd-8M/live.m3u8
河北卫视HD,http://beijinglive.online.domybox.com:91/live/HeBWShd-8M/live.m3u8
山东卫视HD,http://beijinglive.online.domybox.com:91/live/SDWShd-8M/live.m3u8
